Timestamp,Open,High,Low,Close,Volume
1727853720.0,61675.0,61675.0,61662.0,61662.0,0.07890137
1727853780.0,61607.0,61607.0,61607.0,61607.0,0.001
1727853840.0,61595.0,61595.0,61587.0,61587.0,0.0198179
1727853900.0,61588.0,61588.0,61587.0,61587.0,0.40452614
1727853960.0,61601.0,61601.0,61601.0,61601.0,0.00032
1727854020.0,61684.0,61684.0,61677.0,61678.0,0.28408531
1727854080.0,61699.0,61711.0,61699.0,61709.0,1.96645048
1727854140.0,61709.0,61716.0,61709.0,61716.0,1.02743145
1727854200.0,61716.0,61742.0,61716.0,61740.0,4.29731678
1727854260.0,61736.0,61779.0,61733.0,61779.0,5.84779492
1727854320.0,61764.0,61778.0,61762.0,61776.0,7.16039436
1727854380.0,61779.0,61779.0,61757.0,61762.0,2.80445771
1727854440.0,61771.0,61801.0,61771.0,61800.0,5.58435222
1727854500.0,61801.0,61839.0,61801.0,61839.0,3.79473859
1727854560.0,61846.0,61923.0,61846.0,61923.0,4.68683492
1727854620.0,61928.0,61928.0,61879.0,61890.0,0.50722474
1727854680.0,61900.0,61903.0,61872.0,61877.0,1.14167652
1727854740.0,61866.0,61882.0,61862.0,61882.0,1.7971571
1727854800.0,61884.0,61893.0,61877.0,61893.0,1.1930793
1727854860.0,61882.0,61891.0,61867.0,61891.0,0.98037592
1727854920.0,61887.0,61887.0,61827.0,61827.0,1.38348996
1727854980.0,61832.0,61846.0,61822.0,61826.0,1.10092885
1727855040.0,61826.0,61860.0,61825.0,61860.0,0.89815935
1727855100.0,61834.0,61842.0,61826.0,61835.0,1.23364298
1727855160.0,61868.0,61868.0,61842.0,61857.0,0.73314515
1727855220.0,61859.0,61910.0,61859.0,61890.0,1.50145609
1727855280.0,61896.0,61906.0,61867.0,61874.0,2.17463057
1727855340.0,61865.0,61869.0,61839.0,61839.0,1.78928785
1727855400.0,61816.0,61816.0,61782.0,61782.0,0.77648098
1727855460.0,61776.0,61778.0,61754.0,61758.0,1.16976161
1727855520.0,61767.0,61767.0,61738.0,61750.0,0.91496417
1727855580.0,61754.0,61767.0,61752.0,61752.0,2.09721747
1727855640.0,61744.0,61745.0,61729.0,61732.0,1.93725875
1727855700.0,61740.0,61740.0,61700.0,61708.0,1.743276
1727855760.0,61709.0,61712.0,61707.0,61709.0,1.36483551
1727855820.0,61705.0,61721.0,61705.0,61721.0,1.19846731
1727855880.0,61726.0,61748.0,61720.0,61748.0,1.63264465
1727855940.0,61739.0,61739.0,61710.0,61710.0,2.6664397
1727856000.0,61712.0,61712.0,61703.0,61703.0,0.54929147
1727856060.0,61696.0,61696.0,61678.0,61678.0,0.19642658
1727856120.0,61666.0,61666.0,61666.0,61666.0,0.0975
1727856180.0,61683.0,61690.0,61683.0,61690.0,0.07760004
1727856240.0,61706.0,61719.0,61706.0,61719.0,0.07261
1727856300.0,61726.0,61727.0,61726.0,61727.0,0.00063695
1727856360.0,61742.0,61747.0,61742.0,61747.0,0.07109101
1727856420.0,61747.0,61747.0,61747.0,61747.0,0.0
1727856480.0,61726.0,61727.0,61683.0,61683.0,0.31692558
1727856540.0,61624.0,61624.0,61624.0,61624.0,0.32447095
1727856600.0,61605.0,61655.0,61605.0,61650.0,0.17097906
1727856660.0,61648.0,61648.0,61640.0,61640.0,0.00376717
1727856720.0,61645.0,61645.0,61643.0,61643.0,0.01088063
1727856780.0,61639.0,61639.0,61639.0,61639.0,0.00169383
1727856840.0,61624.0,61628.0,61624.0,61628.0,0.07182976
1727856900.0,61633.0,61653.0,61633.0,61653.0,2.55887919
1727856960.0,61636.0,61639.0,61636.0,61639.0,0.01403486
1727857020.0,61626.0,61656.0,61626.0,61656.0,0.39934831
1727857080.0,61671.0,61671.0,61650.0,61659.0,0.17344902
1727857140.0,61631.0,61632.0,61631.0,61632.0,0.0717
1727857200.0,61669.0,61669.0,61669.0,61669.0,0.03239
1727857260.0,61658.0,61658.0,61658.0,61658.0,0.04806
1727857320.0,61701.0,61701.0,61701.0,61701.0,0.00071
1727857380.0,61701.0,61727.0,61701.0,61727.0,0.177692
1727857440.0,61727.0,61730.0,61727.0,61730.0,0.00212833
1727857500.0,61727.0,61727.0,61700.0,61704.0,0.07181845
1727857560.0,61720.0,61732.0,61716.0,61723.0,0.18773865
1727857620.0,61724.0,61752.0,61724.0,61737.0,0.2021499
1727857680.0,61715.0,61722.0,61711.0,61711.0,0.04954628
1727857740.0,61708.0,61708.0,61707.0,61707.0,0.09107483
1727857800.0,61713.0,61713.0,61692.0,61692.0,0.02673265
1727857860.0,61708.0,61765.0,61708.0,61762.0,0.20675065
1727857920.0,61808.0,61844.0,61808.0,61844.0,0.24282835
1727857980.0,61847.0,61849.0,61847.0,61849.0,0.08221195
1727858040.0,61850.0,61850.0,61850.0,61850.0,0.00422014
1727858100.0,61856.0,61856.0,61852.0,61852.0,0.4212061
1727858160.0,61846.0,61846.0,61834.0,61834.0,0.01266205
1727858220.0,61815.0,61821.0,61815.0,61821.0,0.18414478
1727858280.0,61834.0,61844.0,61834.0,61844.0,0.06774973
1727858340.0,61856.0,61856.0,61856.0,61856.0,0.55311025
1727858400.0,61869.0,61883.0,61869.0,61883.0,0.57876445
1727858460.0,61890.0,61891.0,61869.0,61872.0,1.32202836
1727858520.0,61872.0,61893.0,61868.0,61868.0,13.69086545
1727858580.0,61867.0,61870.0,61847.0,61854.0,2.8816515
1727858640.0,61842.0,61842.0,61842.0,61842.0,0.00883301
1727858700.0,61842.0,61857.0,61838.0,61851.0,0.45064207
1727858760.0,61856.0,61856.0,61856.0,61856.0,0.00072
1727858820.0,61851.0,61851.0,61851.0,61851.0,0.00181699
1727858880.0,61844.0,61844.0,61844.0,61844.0,0.00673645
1727858940.0,61791.0,61792.0,61791.0,61792.0,0.1978
1727859000.0,61790.0,61819.0,61790.0,61819.0,0.03046216
1727859060.0,61821.0,61828.0,61821.0,61828.0,0.22761359
1727859120.0,61827.0,61827.0,61792.0,61792.0,1.00253303
1727859180.0,61784.0,61786.0,61750.0,61771.0,0.69658747
1727859240.0,61773.0,61775.0,61764.0,61764.0,0.16731
1727859300.0,61788.0,61795.0,61788.0,61790.0,1.28054508
1727859360.0,61806.0,61810.0,61802.0,61802.0,2.075
1727859420.0,61797.0,61797.0,61789.0,61789.0,0.14760371
1727859480.0,61805.0,61806.0,61801.0,61806.0,0.9756665
1727859540.0,61797.0,61800.0,61789.0,61789.0,0.26485084
1727859600.0,61790.0,61790.0,61753.0,61753.0,0.25922216
1727859660.0,61749.0,61749.0,61749.0,61749.0,0.00084541
1727859720.0,61763.0,61768.0,61763.0,61768.0,0.07317524
1727859780.0,61748.0,61748.0,61724.0,61725.0,0.44803627
1727859840.0,61709.0,61709.0,61709.0,61709.0,0.00253766
1727859900.0,61709.0,61742.0,61709.0,61742.0,0.96912792
1727859960.0,61742.0,61742.0,61721.0,61721.0,0.01640356
1727860020.0,61708.0,61708.0,61704.0,61704.0,0.01580759
1727860080.0,61702.0,61702.0,61693.0,61694.0,0.01009695
1727860140.0,61694.0,61694.0,61694.0,61694.0,0.00845929
1727860200.0,61694.0,61694.0,61694.0,61694.0,0.00046729
1727860260.0,61692.0,61692.0,61692.0,61692.0,0.00095307
1727860320.0,61655.0,61666.0,61655.0,61666.0,0.08339642
1727860380.0,61690.0,61690.0,61658.0,61673.0,0.27357906
1727860440.0,61673.0,61673.0,61668.0,61668.0,0.46519329
1727860500.0,61642.0,61648.0,61642.0,61648.0,0.01798956
1727860560.0,61621.0,61621.0,61604.0,61604.0,0.0053569
1727860620.0,61604.0,61604.0,61594.0,61594.0,0.08664146
1727860680.0,61579.0,61579.0,61579.0,61579.0,0.00847563
1727860740.0,61639.0,61640.0,61630.0,61630.0,0.39286156
1727860800.0,61617.0,61647.0,61617.0,61647.0,0.0078232
1727860860.0,61641.0,61641.0,61641.0,61641.0,0.00185948
1727860920.0,61626.0,61626.0,61570.0,61570.0,1.3200321
1727860980.0,61561.0,61561.0,61498.0,61528.0,31.68965023
1727861040.0,61529.0,61539.0,61525.0,61525.0,0.29175976
1727861100.0,61529.0,61548.0,61529.0,61547.0,0.6358726
1727861160.0,61547.0,61547.0,61505.0,61510.0,0.10142133
1727861220.0,61517.0,61517.0,61517.0,61517.0,0.00678778
1727861280.0,61498.0,61498.0,61484.0,61484.0,0.95390512
1727861340.0,61500.0,61500.0,61499.0,61499.0,0.00944218
1727861400.0,61536.0,61536.0,61535.0,61535.0,0.10344075
1727861460.0,61493.0,61493.0,61493.0,61493.0,0.00679142
1727861520.0,61493.0,61493.0,61493.0,61493.0,0.00679275
1727861580.0,61496.0,61496.0,61461.0,61470.0,2.64336895
1727861640.0,61489.0,61518.0,61489.0,61518.0,0.09094111
1727861700.0,61472.0,61472.0,61447.0,61458.0,2.17936433
1727861760.0,61459.0,61459.0,61455.0,61455.0,0.01220133
1727861820.0,61454.0,61454.0,61447.0,61454.0,0.53906045
1727861880.0,61449.0,61459.0,61449.0,61459.0,0.07486918
1727861940.0,61484.0,61485.0,61477.0,61477.0,0.10048922
1727862000.0,61444.0,61444.0,61417.0,61417.0,1.16832935
1727862060.0,61411.0,61411.0,61162.0,61162.0,62.44231892
1727862120.0,61329.0,61365.0,61328.0,61365.0,1.44155579
1727862180.0,61348.0,61397.0,61348.0,61368.0,2.02844717
1727862240.0,61370.0,61388.0,61370.0,61385.0,0.8530545
1727862300.0,61384.0,61401.0,61384.0,61390.0,0.94449706
1727862360.0,61347.0,61347.0,61214.0,61214.0,0.94562351
1727862420.0,61236.0,61236.0,61201.0,61206.0,0.09131357
1727862480.0,61220.0,61220.0,61169.0,61169.0,0.01887465
1727862540.0,61187.0,61192.0,61184.0,61192.0,0.07802102
1727862600.0,61206.0,61206.0,61199.0,61199.0,0.79234037
1727862660.0,61190.0,61195.0,61152.0,61152.0,1.32645368
1727862720.0,61145.0,61145.0,61131.0,61139.0,1.61460158
1727862780.0,61171.0,61171.0,61131.0,61131.0,0.02334084
1727862840.0,61157.0,61195.0,61135.0,61195.0,0.06696531
1727862900.0,61229.0,61285.0,61229.0,61285.0,0.27879649
1727862960.0,61276.0,61276.0,61256.0,61256.0,0.06299592
1727863020.0,61268.0,61306.0,61268.0,61306.0,0.00262
1727863080.0,61290.0,61290.0,61194.0,61194.0,0.01796885
1727863140.0,61238.0,61246.0,61238.0,61246.0,0.23420358
1727863200.0,61237.0,61237.0,61220.0,61220.0,0.01370902
1727863260.0,61251.0,61251.0,61232.0,61232.0,0.20439747
1727863320.0,61219.0,61222.0,61214.0,61222.0,0.57220873
1727863380.0,61189.0,61189.0,61189.0,61189.0,0.00853146
1727863440.0,61216.0,61216.0,61159.0,61159.0,0.10946028
1727863500.0,61183.0,61183.0,61175.0,61176.0,0.17673159
1727863560.0,61176.0,61205.0,61175.0,61205.0,0.25168741
1727863620.0,61216.0,61216.0,61196.0,61196.0,0.08493058
1727863680.0,61255.0,61255.0,61255.0,61255.0,0.0005302
1727863740.0,61260.0,61264.0,61220.0,61220.0,0.26900377
1727863800.0,61246.0,61246.0,61219.0,61219.0,0.39745675
1727863860.0,61217.0,61233.0,61216.0,61224.0,0.0942602
1727863920.0,61210.0,61210.0,61178.0,61193.0,0.63257523
1727863980.0,61179.0,61184.0,61179.0,61184.0,0.01341647
1727864040.0,61182.0,61183.0,61182.0,61183.0,0.07205855
1727864100.0,61192.0,61208.0,61192.0,61208.0,0.02986577
1727864160.0,61184.0,61184.0,61184.0,61184.0,0.02890341
1727864220.0,61184.0,61184.0,61184.0,61184.0,0.0
1727864280.0,61267.0,61276.0,61258.0,61258.0,0.28829648
1727864340.0,61258.0,61258.0,61258.0,61258.0,0.0
1727864400.0,61308.0,61308.0,61276.0,61296.0,0.27391994
1727864460.0,61286.0,61302.0,61286.0,61302.0,0.25855472
1727864520.0,61301.0,61313.0,61301.0,61313.0,0.31051117
1727864580.0,61325.0,61331.0,61325.0,61331.0,0.0088164
1727864640.0,61346.0,61363.0,61346.0,61363.0,0.04182783
1727864700.0,61370.0,61391.0,61370.0,61391.0,0.00184774
1727864760.0,61426.0,61428.0,61426.0,61428.0,0.07448456
1727864820.0,61418.0,61455.0,61418.0,61455.0,0.18616114
1727864880.0,61455.0,61455.0,61454.0,61454.0,0.08058294
1727864940.0,61461.0,61461.0,61459.0,61460.0,0.00851696
1727865000.0,61459.0,61459.0,61455.0,61455.0,0.01111233
1727865060.0,61440.0,61440.0,61440.0,61440.0,0.00849605
1727865120.0,61432.0,61506.0,61431.0,61506.0,28.14507252
1727865180.0,61506.0,61528.0,61506.0,61528.0,2.24608011
1727865240.0,61500.0,61505.0,61500.0,61505.0,1.11622065
1727865300.0,61485.0,61502.0,61434.0,61434.0,0.59676805
1727865360.0,61435.0,61435.0,61435.0,61435.0,0.00509813
1727865420.0,61431.0,61431.0,61386.0,61386.0,0.0775989
1727865480.0,61415.0,61415.0,61370.0,61380.0,0.00237484
1727865540.0,61369.0,61369.0,61369.0,61369.0,0.00850643
1727865600.0,61369.0,61369.0,61369.0,61369.0,0.0
1727865660.0,61361.0,61361.0,61346.0,61348.0,0.121101
1727865720.0,61386.0,61386.0,61386.0,61386.0,0.00850408
1727865780.0,61369.0,61385.0,61369.0,61385.0,0.23328058
1727865840.0,61385.0,61385.0,61385.0,61385.0,0.0
1727865900.0,61376.0,61376.0,61367.0,61370.0,0.30322608
1727865960.0,61368.0,61368.0,61353.0,61353.0,0.21256041
1727866020.0,61379.0,61390.0,61379.0,61390.0,0.15123249
1727866080.0,61417.0,61425.0,61383.0,61383.0,0.08481001
1727866140.0,61388.0,61388.0,61388.0,61388.0,0.00029337
